Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
epa_chest_13,chest_epa,,dropdown,EPA 13: 肺癌診斷與分期評估,"1, Level 1 - 能識別肺癌可疑症狀知基本流程 | 2, Level 2 - 能執行分期檢查參與團隊討論 | 3, Level 3 - 能獨立完成分期制定初步計畫 | 4, Level 4 - 能整合複雜結果協調多科治療 | 5, Level 5 - 成為肺癌專家領導團隊照護 | 0, 未評估",核心能力: 早期偵測/病理診斷/TNM分期/EGFR ALK PDL1/功能評估/多科整合/症狀緩解,,,,,,y,,,,,
epa_chest_14,chest_epa,,dropdown,EPA 14: 間質性肺疾病診斷與治療,"1, Level 1 - 能識別ILD可能性知基本檢查 | 2, Level 2 - 能執行基本評估識別HRCT型態 | 3, Level 3 - 能獨立診斷ILD制定治療計畫 | 4, Level 4 - 能處理複雜ILD評估移植適應症 | 5, Level 5 - 成為ILD專家領導MDT討論 | 0, 未評估",核心能力: 臨床評估/HRCT判讀/病因分析/BAL肺切片/抗纖維化治療/移植評估,,,,,,y,,,,,
chest_section_comments,chest_epa,整體評語,descriptive,請針對此次評核提供整體質性回饋: 優點與具體表現/需改進之處與學習建議/是否建議進入下階段訓練。提示: 您可使用手機語音輸入功能,,,,,,,,,,,,,
chest_overall_comments,chest_epa,,notes,整體質性評語,,建議使用語音輸入功能,,,,,,,,,,,
chest_strengths,chest_epa,,notes,優點與具體表現,,,,,,,,,,,,,
chest_areas_improvement,chest_epa,,notes,需改進之處與學習建議,,,,,,,,,,,,,
chest_recommendation,chest_epa,,dropdown,是否建議進入下階段訓練,"1, 是-可進入下階段 | 2, 尚可-需持續觀察 | 3, 保留-需加強訓練",,,,,,,y,,,,,
uuid_3,chest_epa,,text,UUID,,,,,,,,,,,,, @MC-TASK-UUID @HIDDEN-SURVEY
startdate_3,chest_epa,,text,Start Date,,,,,,,,,,,,, @MC-TASK-STARTDATE @HIDDEN-SURVEY
enddate_3,chest_epa,,text,End Date,,,,,,,,,,,,, @MC-TASK-ENDDATE @HIDDEN-SURVEY
scheduledate_3,chest_epa,,text,Schedule Date,,,,,,,,,,,,, @MC-TASK-SCHEDULEDATE @HIDDEN-SURVEY
status_3,chest_epa,,dropdown,Status,"0, Deleted | 1, Completed | 2, Incomplete",,,,,,,,,,,, @MC-TASK-STATUS @HIDDEN-SURVEY
supplementaldata_3,chest_epa,,notes,Supplemental Data (JSON),,,,,,,,,,,,, @MC-TASK-SUPPLEMENTALDATA @HIDDEN-SURVEY
serializedresult_3,chest_epa,,file,Serialized Result,,,,,,,,,,,,, @MC-TASK-SERIALIZEDRESULT @HIDDEN-SURVEY
cv_eval_date,cv_epa,基本資料,text,評核日期,,請輸入格式 YYYY-MM-DD,date_ymd,,,,,,,,,,
cv_assessor_name,cv_epa,,text,評核教師姓名,,,,,,,,,,,,,@HIDDEN-SURVEY
cv_assessor_email,cv_epa,,text,評核教師電子信箱,,用於發送 EPA survey 邀請,email,,,y,,,,,,,@CHARLIMIT=100 @HIDDEN-SURVEY
cv_assessor_title,cv_epa,,dropdown,評核教師職稱,"1, 主治醫師 | 2, 總醫師 | 3, 其他",,,,,,,,,,,,@HIDDEN-SURVEY
cv_evaluated_id,cv_epa,被評核學員,text,被評核學員學號/員工編號,,請填入受評學員的學號或員工編號,,,,,,,,,,,@CHARLIMIT=20 @HIDDEN-SURVEY
cv_evaluated_name,cv_epa,,text,被評核學員姓名,,,,,,,,y,,,,,@CHARLIMIT=50 @READONLY
cv_evaluated_type,cv_epa,,dropdown,被評核學員類別,"1, 醫學生 | 2, PGY醫師 | 3, 住院醫師 | 4, 專科護理師",,,,,,,,,,,,@HIDDEN-SURVEY
cv_trainee_type,cv_epa,,dropdown,受評者類型,"1, 醫學生 | 2, PGY醫師 | 3, 住院醫師 | 4, 專科護理師",,,,,,,,,,,,@HIDDEN-SURVEY
cv_trainee_name,cv_epa,,text,受評者姓名,,,,,,,,,,,,,@HIDDEN-SURVEY
cv_dept,cv_epa,,text,評核科別,,預設：心臟內科,,,,,,,,,,,@DEFAULT='心臟內科' @READONLY @HIDDEN-SURVEY
cv_section_epa,cv_epa,EPA評估項目,descriptive,評分標準說明: Level 1 新手 - 僅能觀察他人執行需督導引導; Level 2 進階初學者 - 可在直接監督下執行; Level 3 勝任 - 可獨立執行但需回報; Level 4 精通 - 可獨立執行監督者隨時可得; Level 5 專家 - 可獨立執行並指導他人,,,,,,,,,,,,,
epa_cv_1,cv_epa,,dropdown,EPA 1: 心臟科病史詢問與風險評估,"1, Level 1 - 能詢問基本心血管症狀需督導引導 | 2, Level 2 - 能系統性完成病史詢問使用疼痛評估工具 | 3, Level 3 - 能獨立完成複雜病史詢問整合風險分層 | 4, Level 4 - 能在困難情況獲取準確病史 | 5, Level 5 - 能指導他人識別罕見症狀 | 0, 未評估",核心能力: 胸痛呼吸困難心悸暈厥水腫/高血壓糖尿病血脂異常/NYHA分級/藥物史/家族史,,,,,,y,,,,,
epa_cv_2,cv_epa,,dropdown,EPA 2: 心臟血管系統理學檢查,"1, Level 1 - 能基本心臟聽診識別正常心音測血壓正確 | 2, Level 2 - 能識別常見心雜音系統性血管檢查評估水腫 | 3, Level 3 - 能區分收縮舒張期雜音準確評估頸靜脈壓整合發現 | 4, Level 4 - 能識別複雜雜音特徵技術精準有效率 | 5, Level 5 - 能偵測細微異常整合臨床表現 | 0, 未評估",核心能力: 四聽診區心音雜音/頸動脈周邊動脈搏動/血壓測量/水腫分級/發紺杵狀指,,,,,,y,,,,,
epa_cv_3,cv_epa,,dropdown,EPA 3: 心電圖判讀與分析,"1, Level 1 - 能測基本間期心律識別正常心電圖 | 2, Level 2 - 能識別常見心律不整判讀明顯ST變化 | 3, Level 3 - 能獨立判讀大部分異常整合臨床症狀 | 4, Level 4 - 能判讀複雜心律識別細微缺血變化 | 5, Level 5 - 成為心電圖專家教導複雜判讀 | 0, 未評估",核心能力: PR QRS QT間期/房性結性心室性心律不整/ST-T變化/房室束支傳導阻滯/肥大電解質異常,,,,,,y,,,,,
epa_cv_4,cv_epa,,dropdown,EPA 4: 心臟超音波基礎操作與判讀,"1, Level 1 - 能獲取基本標準切面簡單線性測量 | 2, Level 2 - 能獨立獲取大部分切面基本功能評估 | 3, Level 3 - 能完成標準超音波準確評估左心室功能 | 4, Level 4 - 能進階超音波技術準確定量評估 | 5, Level 5 - 成為超音波專家教導複雜技術 | 0, 未評估",核心能力: 胸骨旁心尖胸骨下切面/左心室功能心房心室大小壁厚/瓣膜型態開關功能逆流/都卜勒血流壓力梯度,,,,,,y,,,,,
epa_cv_5,cv_epa,,dropdown,EPA 5: 急性冠心症診斷與初步處理,"1, Level 1 - 能識別典型胸痛知基本檢查項目 | 2, Level 2 - 能使用診斷流程基本風險評估 | 3, Level 3 - 能獨立診斷急性冠心症適當治療策略 | 4, Level 4 - 能處理複雜情況整合多因素決策 | 5, Level 5 - 成為急性冠心症專家指導複雜個案 | 0, 未評估",核心能力: 典型非典型症狀高風險特徵/心電圖心肌酵素影像/TIMI GRACE評分/抗血小板抗凝降血脂/PCI適應症轉院時機,,,,,,y,,,,,
epa_cv_6,cv_epa,,dropdown,EPA 6: 心律不整診斷與處理,"1, Level 1 - 能識別基本心律不整知緊急原則 | 2, Level 2 - 能處理穩定性心律選基本藥物 | 3, Level 3 - 能獨立處理大部分心律做電擊決定 | 4, Level 4 - 能處理複雜心律評估導管消融 | 5, Level 5 - 成為心律專家執行複雜程序 | 0, 未評估",核心能力: 上心室心室性心律分類/血壓意識灌流評估/藥物非藥物治療/不穩定急救/抗凝導管消融,,,,,,y,,,,,
epa_cv_7,cv_epa,,dropdown,EPA 7: 心衰竭診斷與治療,"1, Level 1 - 能識別心衰竭症狀知基本藥物 | 2, Level 2 - 能使用治療指引基本藥物調整 | 3, Level 3 - 能獨立管理穩定心衰竭調整藥物組合 | 4, Level 4 - 能處理難治性心衰竭評估進階選項 | 5, Level 5 - 成為心衰竭專家發展個人化策略 | 0, 未評估",核心能力: 症狀徵象功能分級/缺血非缺血心肌病變/射血分率舒張功能/ACE利尿劑beta阻斷劑/復健營養疫苗,,,,,,y,,,,,
epa_cv_8,cv_epa,,dropdown,EPA 8: 高血壓診斷與管理,"1, Level 1 - 能正確測血壓知診斷標準 | 2, Level 2 - 能開始一線藥物提供基本生活建議 | 3, Level 3 - 能獨立管理單純高血壓調整劑量組合 | 4, Level 4 - 能處理難控制高血壓評估次發性 | 5, Level 5 - 成為高血壓專家發展個人化策略 | 0, 未評估",核心能力: 診間居家24小時血壓監測/次發性高血壓篩檢/心血管風險分層/單一複方藥物/飲食運動體重控制,,,,,,y,,,,,
epa_cv_9,cv_epa,,dropdown,EPA 9: 心導管檢查結果判讀,"1, Level 1 - 能識別主要冠狀動脈判斷明顯狹窄 | 2, Level 2 - 能判讀標準心導管評估狹窄程度 | 3, Level 3 - 能獨立判讀大部分心導管整合臨床影像 | 4, Level 4 - 能判讀複雜冠狀動脈病變評估手術適應症 | 5, Level 5 - 成為心導管專家指導複雜個案 | 0, 未評估",核心能力: 冠狀動脈主要分支變異/血管狹窄程度重要性/左心室功能壁運動/PCI vs CABG適應症/手術風險預後,,,,,,y,,,,,
epa_cv_10,cv_epa,,dropdown,EPA 10: 心臟科病患照護協調與溝通,"1, Level 1 - 能基本病情說明提供標準衛教 | 2, Level 2 - 能與團隊有效溝通個別化病患衛教 | 3, Level 3 - 能獨立協調複雜照護困難病情討論 | 4, Level 4 - 能領導跨團隊照護複雜醫療決策溝通 | 5, Level 5 - 成為溝通協調專家處理最複雜情況 | 0, 未評估",核心能力: 與護理藥師復健師溝通/疾病藥物生活指導/病情預後決策支持/出院準備居家照護/壞消息告知糾紛處理,,,,,,y,,,,,
epa_cv_11,cv_epa,,dropdown,EPA 11: CCU侵入性處置操作與管理,"1, Level 1 - 能觀察執行了解適應症禁忌症協助準備 | 2, Level 2 - 能直接監督下執行簡單動脈導管基本胸腔穿刺 | 3, Level 3 - 能獨立執行大部分處置正確評估適應症處理併發症 | 4, Level 4 - 能熟練執行所有CCU處置處理複雜情況指導初學者 | 5, Level 5 - 成為侵入性處置專家處理最困難情況建立標準程序 | 0, 未評估",核心能力: 氣管插管動脈導管心包膜穿刺胸腔穿刺/適應症評估設備準備無菌技術/併發症識別處理/術後監測照護,,,,,,y,,,,,
cv_section_comments,cv_epa,整體評語,descriptive,請針對此次評核提供整體質性回饋: 優點與具體表現/需改進之處與學習建議/是否建議進入下階段訓練。提示: 您可使用手機語音輸入功能,,,,,,,,,,,,,
cv_overall_comments,cv_epa,,notes,整體質性評語,,建議使用語音輸入功能,,,,,,,,,,,
cv_strengths,cv_epa,,notes,優點與具體表現,,,,,,,,,,,,,
cv_areas_improvement,cv_epa,,notes,需改進之處與學習建議,,,,,,,,,,,,,
cv_recommendation,cv_epa,,dropdown,是否建議進入下階段訓練,"1, 是-可進入下階段 | 2, 尚可-需持續觀察 | 3, 保留-需加強訓練",,,,,,,y,,,,,
uuid,cv_epa,,text,UUID,,,,,,,,,,,,, @MC-TASK-UUID @HIDDEN-SURVEY
startdate,cv_epa,,text,Start Date,,,,,,,,,,,,, @MC-TASK-STARTDATE @HIDDEN-SURVEY
enddate,cv_epa,,text,End Date,,,,,,,,,,,,, @MC-TASK-ENDDATE @HIDDEN-SURVEY
scheduledate,cv_epa,,text,Schedule Date,,,,,,,,,,,,, @MC-TASK-SCHEDULEDATE @HIDDEN-SURVEY
status,cv_epa,,dropdown,Status,"0, Deleted | 1, Completed | 2, Incomplete",,,,,,,,,,,, @MC-TASK-STATUS @HIDDEN-SURVEY
supplementaldata,cv_epa,,notes,Supplemental Data (JSON),,,,,,,,,,,,, @MC-TASK-SUPPLEMENTALDATA @HIDDEN-SURVEY
serializedresult,cv_epa,,file,Serialized Result,,,,,,,,,,,,, @MC-TASK-SERIALIZEDRESULT @HIDDEN-SURVEY
gi_eval_date,gi_epa,基本資料,text,評核日期,,請輸入格式 YYYY-MM-DD,date_ymd,,,,,,,,,,
gi_assessor_name,gi_epa,,text,評核教師姓名,,,,,,,,,,,,,@HIDDEN-SURVEY
gi_assessor_email,gi_epa,,text,評核教師電子信箱,,用於發送 EPA survey 邀請,email,,,y,,,,,,,@CHARLIMIT=100 @HIDDEN-SURVEY
gi_assessor_title,gi_epa,,dropdown,評核教師職稱,"1, 主治醫師 | 2, 總醫師 | 3, 其他",,,,,,,,,,,,@HIDDEN-SURVEY
gi_evaluated_id,gi_epa,被評核學員,text,被評核學員學號/員工編號,,請填入受評學員的學號或員工編號,,,,,,,,,,,@CHARLIMIT=20 @HIDDEN-SURVEY
gi_evaluated_name,gi_epa,,text,被評核學員姓名,,,,,,,,y,,,,,@CHARLIMIT=50 @READONLY
gi_evaluated_type,gi_epa,,dropdown,被評核學員類別,"1, 醫學生 | 2, PGY醫師 | 3, 住院醫師 | 4, 專科護理師",,,,,,,,,,,,@HIDDEN-SURVEY
gi_trainee_type,gi_epa,,dropdown,受評者類型,"1, 醫學生 | 2, PGY醫師 | 3, 住院醫師 | 4, 專科護理師",,,,,,,,,,,,@HIDDEN-SURVEY
gi_trainee_name,gi_epa,,text,受評者姓名,,,,,,,,,,,,,@HIDDEN-SURVEY
gi_dept,gi_epa,,text,評核科別,,預設：腸胃內科,,,,,,,,,,,@DEFAULT='腸胃內科' @READONLY @HIDDEN-SURVEY
gi_section_epa,gi_epa,EPA評估項目,descriptive,評分標準說明: Level 1 新手 - 僅能觀察他人執行需督導引導; Level 2 進階初學者 - 可在直接監督下執行; Level 3 勝任 - 可獨立執行但需回報; Level 4 精通 - 可獨立執行監督者隨時可得; Level 5 專家 - 可獨立執行並指導他人,,,,,,,,,,,,,
epa_gi_epa_1,gi_epa,,dropdown,EPA 1: 腸胃科病史詢問與風險評估,"1, Level 1 - 能詢問基本消化系統症狀需督導引導 | 2, Level 2 - 能系統性完成病史詢問使用評估工具 | 3, Level 3 - 能獨立完成複雜病史詢問整合風險 | 4, Level 4 - 能在困難情況獲取準確病史 | 5, Level 5 - 能指導他人識別罕見症狀 | 0, 未評估",核心能力: 症狀評估/危險因子/功能狀態/藥物史/家族史,,,,,,y,,,,,
epa_gi_epa_2,gi_epa,,dropdown,EPA 2: 腹部理學檢查,"1, Level 1 - 能基本腹部觸診聽診 | 2, Level 2 - 能系統性腹部檢查識別異常 | 3, Level 3 - 能區分各種腹部發現準確評估 | 4, Level 4 - 能識別細微異常技術精準 | 5, Level 5 - 能偵測複雜異常整合表現 | 0, 未評估",核心能力: 視診/觸診/叩診/聽診/腹水評估,,,,,,y,,,,,
epa_gi_epa_3,gi_epa,,dropdown,EPA 3: 腹部影像判讀與分析,"1, Level 1 - 能識別基本正常腹部影像 | 2, Level 2 - 能識別明顯異常判讀基本CT | 3, Level 3 - 能獨立判讀大部分異常整合症狀 | 4, Level 4 - 能判讀複雜影像識別早期病變 | 5, Level 5 - 成為影像專家教導複雜判讀 | 0, 未評估",核心能力: X光/CT/MRI判讀/病變識別/腹水評估,,,,,,y,,,,,
epa_gi_epa_4,gi_epa,,dropdown,EPA 4: 肝功能檢驗報告判讀,"1, Level 1 - 能識別明顯異常數值 | 2, Level 2 - 能判讀常見肝功能異常 | 3, Level 3 - 能獨立判讀複雜異常整合臨床 | 4, Level 4 - 能判讀複雜肝功能準確推理病因 | 5, Level 5 - 成為肝功能判讀專家 | 0, 未評估",核心能力: GOT GPT/黃疸/肝炎標記/肝硬化指標,,,,,,y,,,,,
epa_gi_epa_5,gi_epa,,dropdown,EPA 5: 內視鏡報告判讀,"1, Level 1 - 能識別基本術語理解報告 | 2, Level 2 - 能判讀常見內視鏡發現 | 3, Level 3 - 能獨立判讀報告整合臨床 | 4, Level 4 - 能判讀複雜發現評估病變嚴重度 | 5, Level 5 - 成為內視鏡判讀專家 | 0, 未評估",核心能力: 胃鏡大腸鏡報告/病變識別/切片建議,,,,,,y,,,,,
epa_gi_epa_6,gi_epa,,dropdown,EPA 6: 急性腹痛診斷與處理,"1, Level 1 - 能識別典型腹痛知基本檢查 | 2, Level 2 - 能使用診斷流程基本評估 | 3, Level 3 - 能獨立診斷腹痛適當策略 | 4, Level 4 - 能處理複雜情況整合決策 | 5, Level 5 - 成為急性腹痛專家指導個案 | 0, 未評估",核心能力: 快速識別/診斷策略/嚴重度分級/疼痛控制/手術決策,,,,,,y,,,,,
epa_gi_epa_7,gi_epa,,dropdown,EPA 7: 肝炎診斷與治療,"1, Level 1 - 能識別肝炎症狀知基本檢查 | 2, Level 2 - 能使用治療指引基本抗病毒 | 3, Level 3 - 能獨立管理穩定肝炎調整治療 | 4, Level 4 - 能處理複雜肝炎評估進階選項 | 5, Level 5 - 成為肝炎專家發展個人化策略 | 0, 未評估",核心能力: 診斷評估/病因識別/ChildPugh MELD/抗病毒治療,,,,,,y,,,,,
epa_gi_epa_8,gi_epa,,dropdown,EPA 8: 消化道出血診斷與處理,"1, Level 1 - 能識別消化道出血知基本流程 | 2, Level 2 - 能使用評分工具開始緊急處置 | 3, Level 3 - 能獨立診斷出血選適當處置 | 4, Level 4 - 能處理複雜出血評估內視鏡治療 | 5, Level 5 - 成為消化道出血專家發展策略 | 0, 未評估",核心能力: Rockall GlasgowBlatchford評分/診斷策略/嚴重度評估/緊急處置/內視鏡評估,,,,,,y,,,,,
epa_gi_epa_9,gi_epa,,dropdown,EPA 9: 膽胰系統疾病診斷與治療,"1, Level 1 - 能識別膽胰疾病了解基本檢查 | 2, Level 2 - 能執行基本診斷區分急慢性 | 3, Level 3 - 能獨立診斷膽胰疾病制定計畫 | 4, Level 4 - 能處理複雜疾病整合內外科 | 5, Level 5 - 成為膽胰專家處理複雜個案 | 0, 未評估",核心能力: 臨床評估/影像判讀/病因分析/治療決策/功能監測/外科評估,,,,,,y,,,,,
epa_gi_epa_10,gi_epa,,dropdown,EPA 10: 腹腔穿刺術與引流,"1, Level 1 - 能協助穿刺了解基本解剖 | 2, Level 2 - 能監督下執行診斷性穿刺 | 3, Level 3 - 能獨立執行穿刺處理併發症 | 4, Level 4 - 能執行複雜手術使用進階技術 | 5, Level 5 - 成為穿刺專家教導複雜技術 | 0, 未評估",核心能力: 適應症評估/超音波定位/無菌技術/併發症預防/術後管理,,,,,,y,,,,,
epa_gi_epa_11,gi_epa,,dropdown,EPA 11: 腸胃科病患照護協調與溝通,"1, Level 1 - 能基本病情說明標準衛教 | 2, Level 2 - 能與團隊溝通個別化衛教 | 3, Level 3 - 能獨立協調複雜照護困難討論 | 4, Level 4 - 能領導跨團隊照護複雜溝通 | 5, Level 5 - 成為溝通協調專家處理複雜情況 | 0, 未評估",核心能力: 團隊溝通/病患衛教/家屬溝通/照護協調/困難溝通,,,,,,y,,,,,
gi_section_comments,gi_epa,整體評語,descriptive,請針對此次評核提供整體質性回饋: 優點與具體表現/需改進之處與學習建議/是否建議進入下階段訓練。提示: 您可使用手機語音輸入功能,,,,,,,,,,,,,
gi_overall_comments,gi_epa,,notes,整體質性評語,,建議使用語音輸入功能,,,,,,,,,,, @MAXCHOICE=10000
gi_strengths,gi_epa,,notes,優點與具體表現,,,,,,,,,,,,,
gi_areas_improvement,gi_epa,,notes,需改進之處與學習建議,,,,,,,,,,,,,
